"Ensembl_ID"	"Gene_symbol"	"logFC"	"FDR"	"Comparison"	"LncBook.ID"	"Type"	"Conservation"	"miRNA"	"GWAS"	"nearest.PC"	"Top.correlated.gene"
"ENSG00000157306"	"ZFHX2-AS1"	-6.54997668492841	0.0278983248479232	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0100050"	"anti_sense,sense"	"Q90"	"hsa-miR-6876-3p,hsa-miR-8082"	"Eosinophil count,Blood protein measurement,-,Sudden cardiac arrest"	"THTPA"	"TNPO2"
"ENSG00000162888"	"C1orf147"	-6.4167450923762	0.044437603182324	"Control_Cytosol_vs_Control_Whole_Cell"	NA	NA	NA	NA	NA	"EIF2D"	"ENSG00000225313"
"ENSG00000163597"	"SNHG16"	1.26110230903253	0.0261405666607506	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0118862"	"integenic"	"Not conserved"	NA	"Adolescent idiopathic scoliosis,Macular telangiectasia type 2,-"	"PRCD"	"PEX10"
"ENSG00000167920"	"KRT10-AS1"	1.94557430182761	0.00406965132597057	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0116399"	"anti_sense"	"Q75"	"hsa-miR-3960"	"Leukocyte count,-"	"KRTAP4-7"	"ZSCAN20"
"ENSG00000176593"	NA	-4.11849756808293	0.000174595830502999	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0127911"	"anti_sense"	"Not conserved"	"hsa-miR-619-5p,hsa-miR-762,hsa-miR-1203,hsa-miR-4433a-3p,hsa-miR-6086"	NA	"ZSCAN1"	"KCNMB3"
"ENSG00000179428"	"IL6-AS1"	6.68578990809111	0.00823809772671026	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0056610"	"anti_sense,sense"	"Q50"	NA	"Platelet count; Aspartate aminotransferase measurement,Cerebrospinal fluid clusterin measurement,C-reactive protein measurement,Leukocyte count,C-reactive protein measurement; Mean corpuscular hemoglobin,Serum albumin measurement,Unipolar depression,Lymphocyte percentage of leukocytes,Serum alanine aminotransferase measurement,Parental genotype effect measurement; Birth weight,Leukocyte count; C-reactive protein measurement; Lymphocyte count,Lymphocyte count,Lung carcinoma,Mean corpuscular hemoglobin,Albumin:globulin ratio measurement; Serum non-albumin protein measurement,Platelet count,Bilirubin measurement,Leukocyte count; Neutrophil count; Myeloid white cell count; 3-hydroxyphenylacetic acid measurement,Serum albumin measurement; C-reactive protein measurement; Body height,Tonsillectomy risk measurement,Longevity; Takayasu arteritis,Eosinophil count,Pulse pressure measurement,Systemic lupus erythematosus,Serum non-albumin protein measurement,Aortic stenosis; Aortic valve calcification,Pulse pressure measurement; Cerebrospinal fluid clusterin measurement,-"	"STEAP1B"	"ENSG00000289260"
"ENSG00000179840"	"PIK3CD-AS1"	3.8089194414583	0.00922575337574355	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0142109"	"intronic_antisense"	"Not conserved"	"hsa-miR-4472,hsa-miR-4481"	"Testicular germ cell tumor,Leukocyte count"	"CLSTN1"	"TRAC"
"ENSG00000180539"	"LINC02908"	-1.84795787149938	0.00386011265420831	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0075339"	"anti_sense"	"Q50"	"hsa-miR-210-5p,hsa-miR-619-5p,hsa-miR-4308,hsa-miR-4270,hsa-miR-6752-3p"	"Leukocyte count,Lymphocyte count,-"	"PAXX"	"ENSG00000273007"
"ENSG00000181577"	"LINC03040"	3.8257971121554	0.034375332705273	"Control_Cytosol_vs_Control_Whole_Cell"	NA	NA	NA	NA	NA	"TMEM63B"	"CHRNB1"
"ENSG00000186594"	"MIR22HG"	-2.89034286143625	6.44943723443845e-10	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0113835"	"anti_sense"	"Q90"	"hsa-miR-30d-3p,hsa-miR-30e-3p,hsa-miR-4268,hsa-miR-4433a-3p,hsa-miR-4468,hsa-miR-6735-5p"	"C-reactive protein measurement; Sex hormone-binding globulin measurement; Alkaline phosphatase measurement; Testosterone measurement; Calcium measurement; Urinary albumin to creatinine ratio; Serum albumin measurement; Triglyceride measurement,Calcium measurement; Blood protein measurement; Sex hormone-binding globulin measurement; Serum albumin measurement,-"	"TLCD2"	"IRF9"
